contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250620C00175000,2025-06-17 19:06:35+00:00,175.0,20.75,20.7,20.9,-2.5499992,-10.944203,192,4250,0.5898478515625001,True,REGULAR,USD
AAPL250620C00177500,2025-06-17 14:13:34+00:00,177.5,19.1,17.7,18.85,-1.75,-8.393285,20,4,0.5107470800781251,True,REGULAR,USD
AAPL250620C00180000,2025-06-17 19:55:50+00:00,180.0,15.9,15.75,16.0,-2.5500011,-13.821144,187,8343,0.5009815527343751,True,REGULAR,USD
AAPL250620C00182500,2025-06-17 16:14:27+00:00,182.5,15.77,12.75,13.95,-0.22999954,-1.4374971,9,57,0.6015664843750002,True,REGULAR,USD
AAPL250620C00185000,2025-06-17 19:54:22+00:00,185.0,10.95,10.85,11.05,-2.5500002,-18.88889,616,6077,0.42188078125,True,REGULAR,USD
AAPL250620C00187500,2025-06-17 19:09:56+00:00,187.5,8.5,8.45,8.65,-2.4499998,-22.374428,216,605,0.36963520996093746,True,REGULAR,USD
AAPL250620C00190000,2025-06-17 19:58:52+00:00,190.0,6.25,6.2,6.4,-2.29,-26.81499,1062,12479,0.33399103515625,True,REGULAR,USD
AAPL250620C00192500,2025-06-17 19:59:50+00:00,192.5,4.25,4.2,4.35,-2.0500002,-32.539684,1712,1037,0.304694453125,True,REGULAR,USD
AAPL250620C00195000,2025-06-17 19:59:57+00:00,195.0,2.53,2.53,2.58,-1.97,-43.77778,14104,16656,0.27539787109374997,True,REGULAR,USD
AAPL250620C00197500,2025-06-17 19:59:58+00:00,197.5,1.29,1.28,1.32,-1.47,-53.260868,36475,9184,0.25830819824218754,False,REGULAR,USD
AAPL250620C00200000,2025-06-17 19:59:57+00:00,200.0,0.56,0.55,0.56,-0.94,-62.666668,37825,43341,0.247077841796875,False,REGULAR,USD
AAPL250620C00202500,2025-06-17 19:59:43+00:00,202.5,0.22,0.22,0.23,-0.51,-69.863014,17669,23715,0.25049577636718745,False,REGULAR,USD
AAPL250620C00205000,2025-06-17 19:59:34+00:00,205.0,0.1,0.09,0.1,-0.23000002,-69.696976,26441,49357,0.26270268554687504,False,REGULAR,USD
AAPL250620C00207500,2025-06-17 19:59:55+00:00,207.5,0.06,0.05,0.06,-0.11,-64.70588,8269,14888,0.2890696093749999,False,REGULAR,USD
AAPL250620C00210000,2025-06-17 19:59:30+00:00,210.0,0.04,0.03,0.04,-0.060000002,-60.0,15281,62129,0.31641308593749995,False,REGULAR,USD
AAPL250620C00212500,2025-06-17 19:57:57+00:00,212.5,0.02,0.02,0.03,-0.05,-71.42857,2042,12518,0.34766277343749996,False,REGULAR,USD
AAPL250620C00215000,2025-06-17 19:59:57+00:00,215.0,0.02,0.02,0.03,-0.030000001,-60.0,3388,42087,0.39063109375,False,REGULAR,USD
AAPL250620C00217500,2025-06-17 19:56:57+00:00,217.5,0.01,0.01,0.02,-0.03,-75.0,443,6848,0.4101621484375,False,REGULAR,USD
AAPL250620C00220000,2025-06-17 19:42:58+00:00,220.0,0.02,0.01,0.02,-0.01,-33.333336,2653,43523,0.44922425781249997,False,REGULAR,USD
